Character,Play
Antonio ,(The Merchant of Venice)
Ariel, (The Tempest)
Beatrice ,(Much Ado About Nothing)
Benedick ,(Much Ado About Nothing)
Caliban ,(The Tempest)
Claudius ,(Hamlet)
Cleopatra ,(Antony and Cleopatra)
Cordelia ,(King Lear)
Desdemona ,(Othello)
Duncan ,(Macbeth)
Sir John Falstaff ,"(Henry IV, Part 1; Henry IV, Part 2; Henry V; The Merry Wives of Windsor)"
Friar Laurence ,(Romeo and Juliet)
Gertrude ,(Hamlet)
Goneril ,(King Lear)
Prince Hal ,"(Henry IV, Part 1; Henry V)"
Hamlet ,(Hamlet)
Herne the Hunter ,(The Merry Wives of Windsor)
Iago ,(Othello)
Juliet ,(Romeo and Juliet)
Julius Caesar ,(Julius Caesar)
Katharina ,(The Taming of the Shrew)
Lady Macbeth ,(Macbeth)
Macbeth ,(Macbeth)
Malcolm ,(Macbeth)
Marcus Brutus ,(Julius Caesar)
Miranda ,(The Tempest)
Nick Bottom ,(A Midsummer Night’s Dream)
Oberon ,(A Midsummer Night’s Dream)
Ophelia ,(Hamlet)
Orlando ,(As You Like It)
Othello ,(Othello)
Petruchio, (The Taming of the Shrew)
Pistol ,"(Henry IV, Part 1; Henry IV, Part 2; Henry V; The Merry Wives of Windsor)"
Polonius, (Hamlet)
Portia ,(The Merchant of Venice)
Prospero ,(The Tempest)
Puck ,(A Midsummer Night’s Dream)
Regan ,(King Lear)
Richard III ,"(Henry VI, Part 2; Henry VI, Part 3; Richard III)"
Romeo ,(Romeo and Juliet)
Rosalind, (As You Like It)
Rosencrantz and Guildenstern ,(Hamlet)
Shylock ,(The Merchant of Venice)
Titania ,(A Midsummer Night’s Dream)
Touchstone ,(As You Like It)
Viola ,(Twelfth Night)
Weird Sisters ,(Macbeth)
